ORISPL_CODE,UNITID,Generator ID,PTID,Zone,Latitude,Longitude,Plant Name,solar_size_MW,State,County,Prime Mover,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Sector Name,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Time from Cold Shutdown to Full Load,Cofire Fuels?,Switch Between Oil and Natural Gas?,CRIS_winter
8007,U9,9,23698,LONGIL,40.817037,-73.066265,Holtsville,1.119536856,NY,Suffolk,GT,56.7,0.9,54.3,68.5,40.4,7,1975, , ,Electric Utility,KER,,,,,,1H,,,73.1
8053,PT01,N01,24155,N.Y.C.,40.6182,-74.06849,Pouch,2.708269529,NY,Richmond,GT,47,1,47,47,1,8,2001, , ,Electric Utility,NG,,,,,,1H,,,47.1
8906,CT0001,1,23523,N.Y.C.,40.787674,-73.912561,Astoria Generating Station,3.040427606,NY,Queens,GT,15,1,15.1,18.4,12,3,1967, , ,IPP Non-CHP,NG,,,,,,1H,N,,20.5
50292,GT4,GEN5,323586,LONGIL,40.7469,-73.4994,Bethpage Power Plant,2.259742084,NY,Nassau,GT,60,0.85,47,49.6,35,7,2002, , ,IPP Non-CHP,NG,,,,,,1H,N,N,51.2
55243,CT2-1,1-Feb,24094,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,37.3,43.9,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,50.7
55243,CT2-2,2-Feb,24095,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,35.1,43.1,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,52.2
55243,CT2-3,3-Feb,24096,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,35.9,42.8,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,50.7
55243,CT2-4,4-Feb,24097,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,34.8,41.1,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,50.5
55243,CT3-1,1-Mar,24098,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,33.7,43,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,50.7
55243,CT3-2,2-Mar,24099,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,34.7,43,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,53.5
55243,CT3-3,3-Mar,24100,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,32.2,42.8,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,52.9
55243,CT3-4,4-Mar,24101,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,34.6,42.9,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,52.9
55243,CT4-1,1-Apr,24102,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,32.9,43.6,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,52.4
55243,CT4-2,2-Apr,24103,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,32.1,43.5,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,51
55243,CT4-3,3-Apr,24104,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,33,43.2,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,50.6
55243,CT4-4,4-Apr,24105,N.Y.C.,40.787,-73.9048,Astoria Gas Turbines,3.040427606,NY,Queens,GT,41.9,0.9,34,43.1,18.6,1,1970, , ,IPP Non-CHP,NG,KER,,,,,10M,N,Y,52.7
55786,CT01,CT01,24216,LONGIL,40.7861,-73.2931,Edgewood Energy LLC,1.119536856,NY,Suffolk,GT,50,0.9,42.5,47,39.9,7,2002, , ,IPP Non-CHP,NG,,,,,,1H,N,,45.6
55786,CT02,CT02,24217,LONGIL,40.7861,-73.2931,Edgewood Energy LLC,1.119536856,NY,Suffolk,GT,50,0.9,42.5,47,39.9,7,2002, , ,IPP Non-CHP,NG,,,,,,1H,N,,46.2
55787,CT01,CT01,24213,LONGIL,40.957053,-72.865877,Shoreham Energy LLC,1.119536856,NY,Suffolk,GT,50,0.9,42.5,47,39.9,7,2002, , ,IPP Non-CHP,DFO,KER,,,,,1H,N,,45.4
55787,CT02,CT02,24214,LONGIL,40.957053,-72.865877,Shoreham Energy LLC,1.119536856,NY,Suffolk,GT,50,0.9,42.5,47,39.9,7,2002, , ,IPP Non-CHP,DFO,KER,,,,,1H,N,,43.9
55969,U-01,U-01,23814,LONGIL,41.10603,-72.376155,Hawkeye Energy Greenport LLC,1.119536856,NY,SUFFOLK,GT,54,0.9,52.5,56.8,20,7,2003,7,2018,IPP Non-CHP,KER,,,,,,1H,N,N,52.4
56032,1,1,23764,LONGIL,40.6439,-73.5683,Equus Freeport Power,2.259742084,NY,Nassau,GT,60, ,47.9,49.2, ,6,2004, , ,IPP Non-CHP,NG,KER,,,,,,N,Y,51.3
2511,U00004,4,23707,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,18,,18,18,,,1970,,,,NG,DFO,,,,,,,,18
2511,U00005,5,23708,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,16,,16,16,,,1970,,,,NG,DFO,,,,,,,,16
2511,U00006,6,23709,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,18,,18,18,,,1970,,,,NG,DFO,,,,,,,,18
2511,U00007,,23710,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,18,,18,18,,,1970,,,,NG,DFO,,,,,,,,18
2511,U00008,8,23711,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,18,,18,18,,,1970,,,,NG,DFO,,,,,,,,18
2511,U00009,9,23700,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,18,,18,18,,,1970,,,,NG,DFO,,,,,,,,18
2511,U00010,10,23701,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,18,,18,18,,,1970,,,,NG,DFO,,,,,,,,18
2511,U00011,11,23702,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,19,,19,19,,,1970,,,,NG,DFO,,,,,,,,19
2511,U00012,12,23703,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,23,,23,23,,,1970,,,,NG,DFO,,,,,,,,23
2511,U00013,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,23,,23,23,,,1970,,,,NG,DFO,,,,,,,,23
2511,U00014,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,22,,22,22,,,1970,,,,NG,DFO,,,,,,,,22
2511,U00015,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,22,,22,22,,,1970,,,,NG,DFO,,,,,,,,22
2511,U00016,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,23,,23,23,,,1970,,,,NG,DFO,,,,,,,,23
2511,U00017,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,23,,23,23,,,1970,,,,NG,DFO,,,,,,,,23
2511,U00018,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,22,,22,22,,,1970,,,,NG,DFO,,,,,,,,22
2511,U00019,,,LONGIL,40.616689,-73.647881,E F Barrett,2.259742084,NY,Nassau,GT,22,,22,22,,,1970,,,,NG,DFO,,,,,,,,22
2682,20,7,323751,WEST,42.0933,-79.2478,S A Carlson,10,NY,Chautauqua,GT,47.3,0.9,42,47,9,11,2001, , ,Electric Utility,NG,,,,,,1H,N,N,47.3
54149,1,GEN1,24151,LONGIL,40.916833,-73.129056,Stony Brook Cogen Plant,1.119536856,NY,Suffolk,GT,47,0.85,44.5,47.1,23,4,1995, , ,IPP CHP,NG,DFO,NaN,NaN,NaN,NaN,12H,N,Y,47
